ticker,group,model,accuracy,macro_f1,n_test
RELIANCE,large_cap,Markov,0.31470230862697446,0.14858519289147343,823
RELIANCE,large_cap,Logistic,0.30339805825242716,0.14667052780783713,824
TCS,large_cap,Markov,0.3353584447144593,0.15827491975063615,823
TCS,large_cap,Logistic,0.3276699029126214,0.16167902510784646,824
HDFCBANK,large_cap,Markov,0.30741190765492105,0.14940050014643927,823
HDFCBANK,large_cap,Logistic,0.3106796116504854,0.1762152988623698,824
INFY,large_cap,Markov,0.3037667071688943,0.09319664492078286,823
INFY,large_cap,Logistic,0.3118932038834951,0.14300822113850922,824
ICICIBANK,large_cap,Markov,0.3134872417982989,0.15270965596947578,823
ICICIBANK,large_cap,Logistic,0.3106796116504854,0.15197589902271263,824
HINDUNILVR,large_cap,Markov,0.3511543134872418,0.16336837656505893,823
HINDUNILVR,large_cap,Logistic,0.32038834951456313,0.16136799297526547,824
SBIN,large_cap,Markov,0.34264884568651277,0.16082982862734202,823
SBIN,large_cap,Logistic,0.3313106796116505,0.15987708516242316,824
BHARTIARTL,large_cap,Markov,0.3195625759416768,0.15220737140542728,823
BHARTIARTL,large_cap,Logistic,0.30461165048543687,0.13135327901142418,824
LEELAHOTELS,small_cap,Markov,0.25806451612903225,0.08205128205128205,62
LEELAHOTELS,small_cap,Logistic,0.31746031746031744,0.20771241830065362,63
AEGISVOPAK,small_cap,Markov,0.1935483870967742,0.07058823529411765,62
AEGISVOPAK,small_cap,Logistic,0.20634920634920634,0.15104209799861973,63
